doy,temp_max_clim,temp_min_clim,dtr_clim,dtr_clearsky,et0_clim,p_wet_clim,amount_clim,outflow_clim
184,35.0260694311961,25.786738011805113,9.239331419390998,13.26377744821577,,0.0,0.6032411960871077,157151.3412799365
185,35.06802227192187,25.86433635486414,9.203685917057749,13.22813194588252,,0.0,0.5515343247223602,155773.20920590585
186,35.10894492725806,25.939958387250545,9.16898654000753,13.193432568832304,,0.0,0.5030847862436337,154393.60463089115
187,35.1488528648378,26.013574961481552,9.135277903356261,13.159723932181034,,0.0,0.45791412383972296,153013.8240603771
188,35.18776065208428,26.085158660839713,9.102601991244581,13.127048020069353,,0.0,0.4160383668725526,151635.26002112866
189,35.225681894133146,26.154683824822868,9.070998069310289,13.09544409813506,,0.0,0.37746805574930475,150259.39636741835
190,35.262629173492975,26.22212657028555,9.04050260320744,13.06494863203221,,0.0,0.3422082806252965,148887.80334618202
191,35.298613991599055,26.28746480822733,9.011149183371742,13.035595212196514,,0.0,0.3102587337709244,147522.13243647973
192,35.33364671241334,26.35067825619627,8.98296845621708,13.007414485041853,,0.0,0.2816137753997118,146164.11097920095
193,35.36773650822039,26.411748446287763,8.955988061932642,12.980434090757413,,0.0,0.2562625127187156,144815.53661347026
194,35.400891307765946,26.4706587287317,8.93023257903426,12.954678607859034,,0.0,0.23418889192762038,143478.27153667968
195,35.433117746880825,26.527394271073316,8.905723475807521,12.930169504632293,,0.0,0.2153718028585725,142154.23660549487
196,35.46442112172912,26.58194205296558,8.882479068763551,12.906925097588323,,0.0,0.19978519591551291,140845.4052955573
197,35.49480534481484,26.634290856603254,8.86051448821161,12.884960517036381,,0.0,0.18739821093944264,139553.7975379256
198,35.52427290387675,26.684431252841353,8.839841651035409,12.86428767986018,,0.0,0.17817531759477967,138281.47345057287
199,35.55282482379537,26.732355583052577,8.820469240742801,12.84491526956757,,0.0,0.17207646684182576,137030.52698347898
200,35.58046063163152,26.778057936790656,8.802402694840874,12.826848723665645,,0.0,0.16905725303148178,135803.07949602412
201,35.60717832490896,26.821534125338125,8.785644199570845,12.810090228395616,,0.0,0.16906908613079674,134601.27328550862
202,35.63297434324821,26.862781651228904,8.770192692019316,12.794638720844087,,0.0,0.172059373561669,133427.26508568847
203,35.6578435434519,26.901799673847226,8.756043869604683,12.780489898429455,,0.0,0.17797171111029886,132283.2195542282
204,35.6817791781353,26.93858897121574,8.743190206919579,12.767636235744348,,0.0,0.1867460823417364,131171.30276793355
205,35.70477287798861,26.973151898096123,8.731620979892497,12.756067008717269,,0.0,0.1983190659322117,130093.67574453056
206,35.726814637750294,27.00549234053632,8.721322297213982,12.745768326038752,,0.0,0.2126240503118486,129052.48800961958
207,35.74789280596333,27.035615667008162,8.71227713895519,12.736723167779962,,0.0,0.22959145499205746,128049.87122723075
208,35.76799407857829,27.063528676289057,8.704465402289246,12.728911431114017,,0.0,0.24914895793526237,127087.93291216413
209,35.787103496459196,27.08923954225062,8.697863954208588,12.722309983033359,,7.198959054807719e-05,0.2712217283097398,126168.7502420023
210,35.80520444684018,27.112757755725628,8.692446691114563,12.716892719939334,,0.0001533851503233881,0.29573266395935294,125294.36398633322
211,35.82227866877224,27.134094063633277,8.688184605138979,12.712630633963748,,0.0002314986550914916,0.32260263290673596,124466.77257033282
212,35.838306262591196,27.15326040555032,8.68504585704089,12.70949188586566,,0.000305775423830458,0.3517507181991971,123687.9262894115
